Formula,Algorithm,Clauses Prop,Time
60,Local Search,0.9748,0.2022
60,Genetic,0.9776,4.4271
60,DPLL,,3.589
61,Local Search,0.9776,0.2033
61,Genetic,0.9776,4.3691
61,DPLL,,5.4624
62,Local Search,0.9786,0.1917
62,Genetic,0.9876,4.4486
62,DPLL,,0.001
63,Local Search,0.9757,0.2265
63,Genetic,0.9805,4.3246
63,DPLL,,0.76
64,Local Search,0.9767,0.1968
64,Genetic,0.981,4.351
64,DPLL,,0.0006
65,Local Search,0.9738,0.189
65,Genetic,0.9738,5.1482
65,DPLL,,2.1787
66,Local Search,0.9705,0.1906
66,Genetic,0.9829,4.2983
66,DPLL,,0.367
67,Local Search,0.9738,0.2019
67,Genetic,0.9824,4.3124
67,DPLL,,0.0014
68,Local Search,0.9757,0.2004
68,Genetic,0.9776,4.352
68,DPLL,,3.704
69,Local Search,0.9752,0.2354
69,Genetic,0.9743,4.2884
69,DPLL,,0.5498
70,Local Search,0.9724,0.1971
70,Genetic,0.9786,4.2847
70,DPLL,,0.0007
71,Local Search,0.9762,0.1985
71,Genetic,0.9833,4.3052
71,DPLL,,2.1835
72,Local Search,0.9733,0.2299
72,Genetic,0.9771,4.3977
72,DPLL,,0.0
73,Local Search,0.9748,0.1966
73,Genetic,0.9814,4.376
73,DPLL,,0.479
74,Local Search,0.9733,0.2141
74,Genetic,0.98,6.021
74,DPLL,,0.0
75,Local Search,0.98,0.3701
75,Genetic,0.9833,6.1921
75,DPLL,,0.9165
76,Local Search,0.979,0.3472
76,Genetic,0.9814,6.6302
76,DPLL,,0.0005
77,Local Search,0.9748,0.3518
77,Genetic,0.9814,6.8016
77,DPLL,,0.1058
78,Local Search,0.9786,0.4039
78,Genetic,0.9771,8.3767
78,DPLL,,0.0009
79,Local Search,0.9786,0.3833
79,Genetic,0.9852,10.0587
79,DPLL,,0.0546
80,Local Search,0.9771,0.4444
80,Genetic,0.9776,6.1926
80,DPLL,,0.001
81,Local Search,0.9781,0.3062
81,Genetic,0.9886,6.1854
81,DPLL,,0.1801
82,Local Search,0.9805,0.2627
82,Genetic,0.9848,6.5568
82,DPLL,,0.0
83,Local Search,0.9724,0.279
83,Genetic,0.9762,6.737
83,DPLL,,7.7235
84,Local Search,0.9738,0.4726
84,Genetic,0.9748,9.0569
84,DPLL,,0.2536
85,Local Search,0.9771,0.3237
85,Genetic,0.9786,5.7604
85,DPLL,,0.0012
86,Local Search,0.98,0.2858
86,Genetic,0.9786,5.7335
86,DPLL,,2.3094
87,Local Search,0.9719,0.3054
87,Genetic,0.9771,6.1793
87,DPLL,,5.0527
88,Local Search,0.9724,0.2217
88,Genetic,0.9786,6.1263
88,DPLL,,2.2969
89,Local Search,0.971,0.3815
89,Genetic,0.9786,6.8934
89,DPLL,,0.001
90,Local Search,0.9752,0.4139
90,Genetic,0.979,6.4507
90,DPLL,,3.7917
91,Local Search,0.9762,0.3297
91,Genetic,0.98,5.2475
91,DPLL,,2.6603
92,Local Search,0.9814,0.2794
92,Genetic,0.981,7.1362
92,DPLL,,4.5572
93,Local Search,0.981,0.7058
93,Genetic,0.9857,9.4112
93,DPLL,,2.4863
94,Local Search,0.9795,0.3883
94,Genetic,0.9786,7.1696
94,DPLL,,0.0
95,Local Search,0.9676,0.3469
95,Genetic,0.9752,6.613
95,DPLL,,3.5733
96,Local Search,0.9724,0.209
96,Genetic,0.9776,6.9182
96,DPLL,,0.375
97,Local Search,0.9771,0.3517
97,Genetic,0.9814,6.9755
97,DPLL,,0.0099
98,Local Search,0.9781,0.2033
98,Genetic,0.9819,9.0678
98,DPLL,,6.2138
99,Local Search,0.9733,0.3127
99,Genetic,0.9762,5.6263
99,DPLL,,0.0
100,Local Search,0.9721,0.2851
100,Genetic,0.9833,6.7877
100,DPLL,,2.1545
101,Local Search,0.9772,0.3205
101,Genetic,0.9819,7.156
101,DPLL,,4.3206
102,Local Search,0.9809,0.4404
102,Genetic,0.98,7.2249
102,DPLL,,0.0011
103,Local Search,0.9707,0.4753
103,Genetic,0.9791,6.8521
103,DPLL,,2.1946
104,Local Search,0.9647,0.2139
104,Genetic,0.9721,8.419
104,DPLL,,6.783
105,Local Search,0.9726,0.3832
105,Genetic,0.98,6.8266
105,DPLL,,3.7701
106,Local Search,0.973,0.3203
106,Genetic,0.9786,7.8396
106,DPLL,,4.0374
107,Local Search,0.9791,0.3139
107,Genetic,0.9823,6.1186
107,DPLL,,0.0
108,Local Search,0.9753,0.207
108,Genetic,0.9833,4.4636
108,DPLL,,0.9828
109,Local Search,0.974,0.2372
109,Genetic,0.9758,4.5287
109,DPLL,,0.0013
110,Local Search,0.9744,0.2179
110,Genetic,0.9809,4.5606
110,DPLL,,3.7476
111,Local Search,0.9786,0.2424
111,Genetic,0.9749,4.4548
111,DPLL,,1.9958
112,Local Search,0.9753,0.2447
112,Genetic,0.9753,4.5286
112,DPLL,,0.0
113,Local Search,0.9735,0.2483
113,Genetic,0.9753,4.5674
113,DPLL,,4.7847
114,Local Search,0.9735,0.1966
114,Genetic,0.9833,4.624
114,DPLL,,1.8341
115,Local Search,0.9791,0.2819
115,Genetic,0.9809,4.5448
115,DPLL,,0.0012
116,Local Search,0.9828,0.2121
116,Genetic,0.9856,4.6697
116,DPLL,,2.0127
117,Local Search,0.9772,0.2788
117,Genetic,0.9856,4.6908
117,DPLL,,0.0
118,Local Search,0.9777,0.2573
118,Genetic,0.9833,4.6668
118,DPLL,,0.2098
119,Local Search,0.9698,0.2427
119,Genetic,0.9847,4.5707
119,DPLL,,0.001
120,Local Search,0.9744,0.2102
120,Genetic,0.9833,4.5588
120,DPLL,,7.2309
121,Local Search,0.9735,0.213
121,Genetic,0.9809,4.6517
121,DPLL,,0.173
122,Local Search,0.9674,0.2247
122,Genetic,0.9772,4.5971
122,DPLL,,0.0029
123,Local Search,0.9767,0.2312
123,Genetic,0.9819,4.555
123,DPLL,,0.5477
124,Local Search,0.9758,0.2418
124,Genetic,0.9767,4.6448
124,DPLL,,0.007
125,Local Search,0.9781,0.2257
125,Genetic,0.9772,4.536
125,DPLL,,2.7586
126,Local Search,0.973,0.2044
126,Genetic,0.9805,4.5561
126,DPLL,,0.004
127,Local Search,0.9809,0.257
127,Genetic,0.9828,5.8086
127,DPLL,,0.6189
128,Local Search,0.9814,0.3794
128,Genetic,0.9856,7.425
128,DPLL,,0.0009
129,Local Search,0.9749,0.3107
129,Genetic,0.9763,6.8899
129,DPLL,,3.471
130,Local Search,0.9702,0.2277
130,Genetic,0.9791,6.7264
130,DPLL,,2.0636
131,Local Search,0.9702,0.3157
131,Genetic,0.9791,6.7995
131,DPLL,,0.0
132,Local Search,0.9726,0.3176
132,Genetic,0.9767,6.468
132,DPLL,,5.6629
133,Local Search,0.9786,0.3852
133,Genetic,0.9781,8.8636
133,DPLL,,2.0994
134,Local Search,0.9735,0.4635
134,Genetic,0.9777,9.83
134,DPLL,,0.6639
135,Local Search,0.9688,0.4743
135,Genetic,0.9795,8.6215
135,DPLL,,0.0
136,Local Search,0.9805,0.5285
136,Genetic,0.9772,8.526
136,DPLL,,1.8723
137,Local Search,0.9767,0.42
137,Genetic,0.9814,7.0552
137,DPLL,,0.0921
138,Local Search,0.9698,0.4445
138,Genetic,0.986,7.0581
138,DPLL,,0.0
139,Local Search,0.9721,0.469
139,Genetic,0.9763,9.2008
139,DPLL,,1.8923
140,Local Search,0.9744,0.3633
140,Genetic,0.9814,8.6789
140,DPLL,,1.2769
141,Local Search,0.9791,0.6169
141,Genetic,0.9781,9.0149
141,DPLL,,0.001
142,Local Search,0.973,0.4497
142,Genetic,0.9805,8.666
142,DPLL,,1.4733
143,Local Search,0.9721,0.3472
143,Genetic,0.9763,8.2351
143,DPLL,,0.0
144,Local Search,0.9693,0.3612
144,Genetic,0.9726,7.7859
144,DPLL,,1.1717
145,Local Search,0.9777,0.3812
145,Genetic,0.9851,9.0903
145,DPLL,,2.8552
146,Local Search,0.9749,0.4614
146,Genetic,0.9758,8.054
146,DPLL,,0.0
147,Local Search,0.9758,0.4243
147,Genetic,0.9893,7.3573
147,DPLL,,0.5507
148,Local Search,0.9716,0.4214
148,Genetic,0.9763,7.727
148,DPLL,,0.0
149,Local Search,0.9809,0.4343
149,Genetic,0.9819,9.175
149,DPLL,,0.5748
150,Local Search,0.9736,0.4225
150,Genetic,0.9809,5.1294
150,DPLL,,0.0005
151,Local Search,0.9773,0.2013
151,Genetic,0.9736,4.6384
151,DPLL,,2.6819
152,Local Search,0.9686,0.2199
152,Genetic,0.9773,4.6597
152,DPLL,,2.928
153,Local Search,0.9741,0.2131
153,Genetic,0.9809,4.7153
153,DPLL,,2.2661
154,Local Search,0.9723,0.2133
154,Genetic,0.9786,4.6961
154,DPLL,,5.9792
155,Local Search,0.9695,0.2222
155,Genetic,0.9764,4.6698
155,DPLL,,3.001
156,Local Search,0.9759,0.1976
156,Genetic,0.9786,4.6463
156,DPLL,,5.0494
157,Local Search,0.9773,0.1823
157,Genetic,0.9759,4.746
157,DPLL,,2.0229
158,Local Search,0.9723,0.2754
158,Genetic,0.9759,4.6909
158,DPLL,,3.4376
159,Local Search,0.9686,0.182
159,Genetic,0.9786,4.7443
159,DPLL,,3.6847
160,Local Search,0.9695,0.2461
160,Genetic,0.9827,4.7268
160,DPLL,,1.9885
161,Local Search,0.9732,0.2285
161,Genetic,0.9768,4.5479
161,DPLL,,2.9379
162,Local Search,0.9673,0.225
162,Genetic,0.9714,4.68
162,DPLL,,1.6596
163,Local Search,0.9764,0.2413
163,Genetic,0.9805,4.6466
163,DPLL,,3.2851
164,Local Search,0.9745,0.1888
164,Genetic,0.9818,4.7123
164,DPLL,,0.7134
165,Local Search,0.9736,0.2378
165,Genetic,0.9827,4.6913
165,DPLL,,0.001
166,Local Search,0.9786,0.2468
166,Genetic,0.9791,4.7799
166,DPLL,,0.055
167,Local Search,0.9773,0.2459
167,Genetic,0.9809,4.7298
167,DPLL,,0.001
168,Local Search,0.9845,0.2927
168,Genetic,0.9777,4.5839
168,DPLL,,4.0363
169,Local Search,0.9736,0.2519
169,Genetic,0.9777,4.6036
169,DPLL,,2.4569
170,Local Search,0.9791,0.2115
170,Genetic,0.9795,4.4951
170,DPLL,,0.7258
171,Local Search,0.9759,0.2218
171,Genetic,0.9855,4.5185
171,DPLL,,0.001
172,Local Search,0.9818,0.2587
172,Genetic,0.9818,4.6201
172,DPLL,,2.0186
173,Local Search,0.9736,0.19
173,Genetic,0.9759,4.6426
173,DPLL,,1.1519
174,Local Search,0.9727,0.2026
174,Genetic,0.9786,4.6045
174,DPLL,,1.1834
175,Local Search,0.9791,0.2671
175,Genetic,0.9832,4.6127
175,DPLL,,0.0
176,Local Search,0.9773,0.2184
176,Genetic,0.9791,4.7393
176,DPLL,,1.9081
177,Local Search,0.9805,0.2737
177,Genetic,0.9773,4.6634
177,DPLL,,0.001
178,Local Search,0.9795,0.2863
178,Genetic,0.9727,4.6831
178,DPLL,,2.0833
