Formula,Algorithm,Clauses Prop,Time
66,Local Search,0.98,0.266
66,Genetic,0.98,4.989
66,DPLL,,0.413
67,Local Search,0.97,0.24
67,Genetic,0.98,4.99
67,DPLL,,0.001
68,Local Search,0.97,0.232
68,Genetic,0.98,5.022
68,DPLL,,4.166
69,Local Search,0.97,0.254
69,Genetic,0.97,4.994
69,DPLL,,0.567
70,Local Search,0.98,0.233
70,Genetic,0.98,5.02
70,DPLL,,0.0
71,Local Search,0.98,0.242
71,Genetic,0.98,5.029
71,DPLL,,2.485
72,Local Search,0.97,0.22
72,Genetic,0.98,5.024
72,DPLL,,0.001
73,Local Search,0.97,0.255
73,Genetic,0.98,5.071
73,DPLL,,0.524
74,Local Search,0.97,0.249
74,Genetic,0.98,5.019
74,DPLL,,0.0
75,Local Search,0.98,0.261
75,Genetic,0.98,4.995
75,DPLL,,1.051
76,Local Search,0.98,0.239
76,Genetic,0.98,4.978
76,DPLL,,0.002
77,Local Search,0.98,0.25
77,Genetic,0.98,4.995
77,DPLL,,0.084
78,Local Search,0.97,0.217
78,Genetic,0.98,4.975
78,DPLL,,0.0
79,Local Search,0.98,0.251
79,Genetic,0.99,4.975
79,DPLL,,0.061
80,Local Search,0.98,0.25
80,Genetic,0.98,5.006
80,DPLL,,0.0
81,Local Search,0.98,0.251
81,Genetic,0.98,4.97
81,DPLL,,0.207
82,Local Search,0.98,0.259
82,Genetic,0.99,5.019
82,DPLL,,0.002
83,Local Search,0.97,0.285
83,Genetic,0.98,5.021
83,DPLL,,8.64
84,Local Search,0.97,0.231
84,Genetic,0.98,4.987
84,DPLL,,0.267
85,Local Search,0.98,0.235
85,Genetic,0.98,5.096
85,DPLL,,0.0
86,Local Search,0.97,0.236
86,Genetic,0.98,5.037
86,DPLL,,2.55
87,Local Search,0.97,0.247
87,Genetic,0.98,4.997
87,DPLL,,5.673
88,Local Search,0.97,0.247
88,Genetic,0.98,5.068
88,DPLL,,2.56
89,Local Search,0.97,0.268
89,Genetic,0.98,5.107
89,DPLL,,0.002
90,Local Search,0.97,0.232
90,Genetic,0.98,5.126
90,DPLL,,4.279
91,Local Search,0.97,0.277
91,Genetic,0.98,5.079
91,DPLL,,2.832
92,Local Search,0.97,0.209
92,Genetic,0.98,5.171
92,DPLL,,4.895
93,Local Search,0.98,0.221
93,Genetic,0.98,5.138
93,DPLL,,2.767
94,Local Search,0.98,0.235
94,Genetic,0.98,5.168
94,DPLL,,0.0
95,Local Search,0.97,0.202
95,Genetic,0.98,5.126
95,DPLL,,4.05
96,Local Search,0.98,0.227
96,Genetic,0.98,5.14
96,DPLL,,0.345
